author|Vrachliotis, Georg
translator|
title|Swinging Cybernetics
editor|
in|Geregelte Verhältnisse
location|
publisher|
year|2012
pages|139
tag|blackbox + input + output + bekannt + berechenbar + vorhersehbar + schaltung + ungewissheit + nutzer + architektur + übersetzung + analogie
quote|"""Musicolour"" war als eine Black Box konzipiert, deren Input zwar bekannt war, nicht jedoch ihre Schaltung im Inneren. Der dadurch generierte Output war berechenbar, allerdings nicht vorhersehbar."
dateAdded|20181030_1340
