author|Koolhaas, Rem
translator|
title|Whatever happened to Urbanism?
editor|
in|smlxl
location|
publisher|
year|1995
pages|969
tag|urbanismus + fantasie + omnipotenz + ungewissheit  + inszenierung + anordnung + permanenz + objekt + irrigation + terretorium + potenzial + stabilität + konfiguration + schöpfung + prozess + form + definit + limit + erweiterung + vorstellung + grenzüberschreitung + separation + identifikation + entität + unbenennbar + hybrid + city + manipulation + infrastruktur + intensifikation + diversikfikation + abkürzung + umverteilung + neuerfindung + psychologie + raum + durchdringung + neu + mehr + veränderung + zivilization + 	wip
significance|primary
quote|"If there is to be a ""new urbanism"" it will not be based on the twin fantasires of orrder and omnipotence; it will be the staging of uncertainty; it will no longer be concerned with the arrangement of more or less permanent objects but with the irrigation of territories with potential; it will no longer aim for stable configurations but for the creation of enabling fields that accommodate processes that refuse to be crystalized into definitive form; it will no longer be about meticulous definition; the imposition of limits, but about expanding notions, denying boundaries, not about separating and identifying entities, but about discovering unnameable hybrids; it will no longer be obsesses with the city but with the manipulation of infrastructure for endless intensifications and diversifications, shortcuts and redistributions - the reinvention of psychological space. Since the urban is now pervasive urbanism will never again be about the ""new"", only about the ""more"" and the ""modified"". It will not be about the civilized, but about underdevelopment."
dateAdded|20180619_1051
