author|Eco, Umberto
translator|
title|"Die ""Vektor""-Indizes"
editor|
in|Zeichen
location|
publisher|
year|1973
pages|175
tag|index + vektor + aufmerksamkeit + zeichen + signifikat + Wahrnehmung + Gegenstand
significance|primary
quote|Wir wollen Zeichen wie den zeigenden Finger, /ich/ oder /du/ und /dieser/, wenn sie in konkreten Situationen als Ersatz für den zeigenden Finger verwendet werden, als Aufmerksamkeitsvektoren bezeichnen. Es sind metasprachliche Zeichen, die bestimmen, in welcher Weise die anderen Zeichen gebraucht werden sollen. Ein Aufmerksamkeitsvektor hat immer ein Signifikat. Er bedeutet, daß die Aufmerksamkeit des Empfängers sich auf einen bestimmten wahrzunehmenden Gegenstand bzw. einen bestimmten Sachverhalt richten soll.
dateAdded|20180608_1221
