author|Koolhaas, Rem
translator|
title|Whatever happened to Urbanism?
editor|
in|smlxl
location|
publisher|
year|1995
pages|967
tag|architektur + qualität + verführung + definition + exklusion + limit + separation + rest + konsum + ausnutzung + ausbeutung + potenzial + urban + urbanismus + vorstellung + erfindung + erneuerung
significance|primary
quote|"The neatness of architecture is its seduction; it defines, excludes, limits, separates from the ""rest"" - but it also consumes. It exploits and exhausts the potentials that can be generated finally only by urbanism, and that only the specific imagination of urbanism can invent and renew."
dateAdded|20180619_1041
